Date,Description,Original Description,Category,Amount,Status
2023-04-25,"Hot Dog Industries Stuttgart","HOT DOG INDUSTRIES       STUTTGART",Fast Food,-11.00,Posted
2023-04-24,"Chase Credit Card","CHASE CREDIT CRD EPAY       ***********1156",Credit Card Payment,-50.00,Posted
2023-04-24,"Lieferando De Lieferserviamsterdam","Lieferando.de lieferserviAMSTERDAM",Fast Food,-49.98,Posted
2023-04-24,"Netto Marken-Discount","Netto Marken-Discount    STUTTGART",Groceries,-41.47,Posted
2023-04-24,"Lieferando De Lieferserviamsterdam","Lieferando.de lieferserviAMSTERDAM",Fast Food,-27.38,Posted
2023-04-24,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2023-04-19,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2023-04-18,"IRS Tax Payment","IRS              USATAXPYMT ***********6478",Federal Tax,-1284.00,Posted
2023-04-18,"USAA Property and Casualty Insurance","USAA P&C         AUTOPAY    ***********5038",Financial,-23.48,Posted
2023-04-18,"Norma Stuttgart","Norma                    STUTTGART",Groceries,-25.38,Posted
2023-04-18,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-14.65,Posted
2023-04-17,"ICPayment","ICPAYMENT",Transfer,-134.08,Posted
2023-04-17,"Local Hero Amsterdam","Local Hero               AMSTERDAM",Restaurants,-24.77,Posted
2023-04-17,"YouTube Premium","GOOGLE *YouTubePremium   G.CO/HELPPAY#",Entertainment,-13.41,Posted
2023-04-17,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2023-04-14,"Host International Amsterdam","HMS Host International   AMSTERDAM",Fast Food,-17.73,Posted
2023-04-13,"Durty Nellys Amsterdam","Durty Nellys             AMSTERDAM",Restaurants,-26.16,Posted
2023-04-13,"Amnesia Amsterdam","Amnesia                  AMSTERDAM",Restaurants,-9.94,Posted
2023-04-10,"Netto Marken-Discount","Netto Marken-Discount    STUTTGART",Groceries,-53.50,Posted
2023-04-06,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,400.00,Posted
2023-04-04,"American","AMERICAN INTERNATIONAL MO800-8412782  GA",Shipping,-51.15,Posted
2023-04-04,"Microsoft","MSFT *<E0800MTV3I>       MSFT AZURE",Electronics & Software,-6.34,Posted
2023-04-03,"Exchange","AAFES-ARMY       ACH PYMT   ***********9616",Shopping,-200.00,Posted
2023-04-03,"H&R Block","HRB ONLINE TAX PRODUCT   8004725625   MO",Taxes,-115.00,Posted
2023-04-03,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-10.88,Posted
2023-04-03,"Google Cloud","Google CLOUD vwFNwz      DUBLIN",Business Services,-6.43,Posted
2023-03-31,"Chase Credit Card","CHASE CREDIT CRD EPAY       ***********8658",Credit Card Payment,-100.00,Posted
2023-03-31,"Ancestry","ANC*ANCESTRY.COM         800-2623787  UT",Hobbies,-43.67,Posted
2023-03-30,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-350.00,Posted
2023-03-29,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2023-03-29,"Defense Finance and Accounting Service","DFAS-CLEVELAND   RET NET    ***********8900",Paycheck,1898.01,Posted
2023-03-27,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-100.00,Posted
2023-03-27,"Netto Marken-Discount","Netto Marken-Discount    STUTTGART",Groceries,-69.07,Posted
2023-03-16,"USAA Property and Casualty Insurance","USAA P&C         AUTOPAY    ***********5038",Financial,-23.48,Posted
2023-03-16,"YouTube Premium","GOOGLE *YouTubePremium   G.CO/HELPPAY#",Entertainment,-13.02,Posted
2023-03-15,"ICPayment","ICPAYMENT",Transfer,-134.08,Posted
2023-03-06,"Microsoft","MSFT *<E0800MG627>       MSFT AZURE",Electronics & Software,-6.32,Posted
2023-03-03,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2023-03-03,"Exchange","AAFES-ARMY       ACH PYMT   ***********9616",Shopping,-175.00,Posted
2023-03-03,"Ancestry","ANC*ANCESTRY.COM         800-2623787  UT",Hobbies,-43.67,Posted
2023-03-03,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-10.12,Posted
2023-03-02,"Chase Credit Card","CHASE CREDIT CRD EPAY       ***********1346",Credit Card Payment,-100.00,Posted
2023-03-02,"American","AMERICAN INTERNATIONAL MO800-8412782  GA",Shipping,-51.15,Posted
2023-03-02,"Google Cloud","GOOGLE*CLOUD WBKS6H      DUBLIN 2",Business Services,-5.52,Posted
2023-03-02,"Europcar Hamc Hamburg","Europcar HAMC99 Hamburg  HAMBURG",Rental Car & Taxi,3.80,Posted
2023-03-01,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-600.00,Posted
2023-03-01,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-350.00,Posted
2023-03-01,"USAA Loan Payment","USAA LOAN PAYMENT",Transfer,-150.00,Posted
2023-02-27,"Defense Finance and Accounting Service","DFAS-CLEVELAND   RET NET    ***********8900",Paycheck,1898.01,Posted
2023-02-23,"Europcar.com","Europcar.com/de          HAMBURG",Rental Car & Taxi,-158.95,Posted
2023-02-21,"Alaska Airlines","ALASKA AIR  0272326327205SEATTLE      WA",Air Travel,-30.00,Posted
2023-02-21,"Uptown Market Gate 8 Queens","SQ *UPTOWN MARKET GATE 8 QUEENS       NY",Restaurants,-18.52,Posted
2023-02-21,"Hudson News","HUDSON ST 1498           SEATTLE      WA",Shopping,-17.15,Posted
2023-02-21,"McDonald's","MCDONALD'S F23573        JAMAICA      NY",Fast Food,-11.31,Posted
2023-02-17,"Fred Meyer","FRED-MEYE FRED MEYER 1   BREMERTON    WA",Groceries,-13.63,Posted
2023-02-17,"Chevron","CHEVRON/JIM HENDRICKSON  KALAMA       WA",Gas,-6.02,Posted
2023-02-16,"USAA Property and Casualty Insurance","USAA P&C         AUTOPAY    ***********5038",Financial,-26.49,Posted
2023-02-16,"YouTube Premium","GOOGLE *YouTubePremium   G.CO/HELPPAY#",Entertainment,-13.02,Posted
2023-02-16,"TacoTime","TACO TIME - BREMERTON    BREMERTON    WA",Fast Food,-12.31,Posted
2023-02-15,"ICPayment","ICPAYMENT",Transfer,-134.08,Posted
2023-02-15,"Chevron","CHEVRON/SOHAL GROUP, LL  BREMERTON    WA",Gas,-4.54,Posted
2023-02-14,"Walmart","WAL-MART #2317Wal-Mart StBREMERTON    WA",Shopping,-141.94,Posted
2023-02-13,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-275.00,Posted
2023-02-13,"Safeway","SAFEWAY #1524            BREMERTON    WA",Groceries,-35.99,Posted
2023-02-13,"Alaska Airlines","ALASKA AIR  0272325634739SEATTLE      WA",Air Travel,-30.00,Posted
2023-02-13,"Grill House","GRILL HOUSE              WATERTOWN    NY",Restaurants,-26.66,Posted
2023-02-13,"Apt B Deli Market","JFKT7 APT7B DELI MKT 4123JAMAICA      NY",Food & Dining,-21.58,Posted
2023-02-13,"Wifionboard Alaska","WIFIONBOARD ALASKA       877-350-0038 IL",Internet,-8.00,Posted
2023-02-13,"USA Technologies Vending","SNACK SODA VENDING       SYRACUSE     NY",Fast Food,-2.15,Posted
2023-02-10,"Juju66 Real Fruit Smowatertown","SQ *JUJU66 REAL FRUIT SMOWATERTOWN    NY",Fast Food,-25.52,Posted
2023-02-10,"Metropolitan Transportation Authority","MTA*METROCARD MACHINE    NEW YORK     NY",Public Transportation,-11.00,Posted
2023-02-10,"Subway","Subway 20596             SYRACUSE     NY",Fast Food,-7.23,Posted
2023-02-10,"Onvo Travel Plaza Goul","ONVO TRAVEL PLAZA - GOUL1GOULDSBORO   PA",Travel,-4.58,Posted
2023-02-09,"Salmon Run","P60315721182 SALMON RUN MWATERTOWN    NY",Cash,-63.85,Posted
2023-02-09,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.85,Posted
2023-02-06,"Seaway Lanes Cafe","SEAWAY LANES CAFE        WATERTOWN    NY",Food & Dining,-33.43,Posted
2023-02-06,"Microsoft","MSFT * E0800M1W74        MSFT AZURE",Electronics & Software,-6.44,Posted
2023-02-02,"American International","AMERICAN INTERNATIONAL M 4789941324   GA",Shopping,-51.15,Posted
2023-02-02,"Ancestry","ANC*ANCESTRY.COM         800-2623787  UT",Hobbies,-43.67,Posted
2023-02-02,"Google Cloud","GOOGLE*CLOUD QXQFGX      DUBLIN 2",Business Services,-16.61,Posted
2023-02-02,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-13.29,Posted
2023-02-01,"Exchange","AAFES-ARMY       ACH PYMT   ***********9616",Shopping,-150.00,Posted
2023-02-01,"MetroCard Vending Machines","MTA*METROCARD/AIRTRAIN   NEW YORK     NY",Public Transportation,-11.75,Posted
2023-02-01,"USA Technologies Vending","SNACK SODA VENDING       WHITESTONE   NY",Fast Food,-3.00,Posted
2023-02-01,"Metropolitan Transportation Authority","MTA*METROCARD MACHINE    NEW YORK     NY",Public Transportation,-3.00,Posted
2023-02-01,"Walmart","Wal-Mart Super Center    WATERTOWN    NY",Shopping,-1.05,Posted
2023-01-31,"Chase Credit Card","CHASE CREDIT CRD EPAY       ***********6921",Credit Card Payment,-100.00,Posted
2023-01-31,"T-Mobile","T-MOBILE HOTSPOT GMBH    BONN",Mobile Phone,-5.51,Posted
2023-01-31,"Call a Bike Frankfurt","CALL A BIKE              FRANKFURT",Rental Car & Taxi,-3.30,Posted
2023-01-30,"Defense Finance and Accounting Service","DFAS-CLEVELAND   RET NET    ***********8900",Paycheck,1898.01,Posted
2023-01-18,"USAA Property and Casualty Insurance","USAA P&C         AUTOPAY    ***********5038",Financial,-26.48,Posted
2023-01-17,"ICPayment","ICPAYMENT",Transfer,-134.08,Posted
2023-01-17,"YouTube Premium","GOOGLE *YouTubePremium   G.CO/HELPPAY#",Entertainment,-13.16,Posted
2023-01-11,"Toom Baumarkt Stuttgart","Toom Baumarkt            STUTTGART",Home,-26.90,Posted
2023-01-05,"McDonald's","MCDONALDS 01707          STUTTGART",Fast Food,-11.64,Posted
2023-01-05,"Microsoft","MSFT *<E0800LNU5D>       MSFT AZURE",Electronics & Software,-6.24,Posted
2023-01-04,"American International","AMERICAN INTERNATIONAL M 4789941324   GA",Shopping,-51.15,Posted
2023-01-03,"Exchange","AAFES-ARMY       ACH PYMT   ***********9616",Shopping,-150.00,Posted
2023-01-03,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-300.00,Posted
2023-01-03,"Greyhound","GREYHOUND LINES CNP      214-849-8966 TX",Travel,-139.98,Posted
2023-01-03,"Ancestry","ANC*ANCESTRY.COM         800-2623787  UT",Hobbies,-43.67,Posted
2023-01-03,"Edeka Stuttgart","EDEKA STUTTGART          STUTTGART",Groceries,-39.01,Posted
2023-01-03,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-13.29,Posted
2023-01-03,"Google Cloud","GOOGLE*CLOUD 3LZ6P2      DUBLIN 2",Business Services,-2.72,Posted
