Date,Description,Original Description,Category,Amount,Status
2023-09-27,"Defense Finance and Accounting Service","DFAS-CLEVELAND   RET NET    ***********8900",Paycheck,1898.01,Posted
2023-09-25,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-183.48,Posted
2023-09-25,"McDonald's","MCDONALDS 01707          STUTTGART",Fast Food,-14.97,Posted
2023-09-22,"Wise","Wise Ltd         TrnWise    ***********5563",Financial,-107.93,Posted
2023-09-18,"USAA Property and Casualty Insurance","USAA P&C         AUTOPAY    ***********5038",Financial,-23.48,Posted
2023-09-18,"YouTube Premium","GOOGLE *YouTubePremium   G.CO/HELPPAY#",Entertainment,-13.02,Posted
2023-09-15,"ICPayment","ICPAYMENT",Transfer,-134.08,Posted
2023-09-14,"Lufthansa","LUFTHANSA   2202521120102KOLN",Air Travel,-556.20,Posted
2023-09-14,"Lufthansa","LUFTHANSA   2204009305953KOLN",Air Travel,-13.05,Posted
2023-09-13,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-300.00,Posted
2023-09-13,"Allianz Direct Versicherumuenchen","Allianz Direct VersicheruMUENCHEN",Financial,79.58,Posted
2023-09-13,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,250.00,Posted
2023-09-11,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-250.00,Posted
2023-09-11,"Baden Wuerttembergimilaneo","256100BADEN-WUERTTEMBERGIMILANEO",Cash,-108.53,Posted
2023-09-06,"McDonald's","MCDONALDS 01707          STUTTGART",Fast Food,-14.83,Posted
2023-09-05,"Exchange","AAFES-ARMY       ACH PYMT   ***********9616",Shopping,-200.00,Posted
2023-09-05,"Chase Credit Card","CHASE CREDIT CRD EPAY       ***********2189",Credit Card Payment,-100.00,Posted
2023-09-05,"American","AMERICAN INTERNATIONAL MO800-8412782  GA",Shipping,-51.15,Posted
2023-09-05,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-31.77,Posted
2023-09-05,"Microsoft","MSFT * E0800OV1I1        MSFT AZURE",Electronics & Software,-17.24,Posted
2023-09-05,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-1.90,Posted
2023-09-01,"Google Cloud","Google CLOUD 7xwNLF      DUBLIN",Business Services,-4.45,Posted
